Time (s),Signal (Green),BPM
56.95,40.81,132
56.98,44.59,132
57.03,38.68,132
57.06,33.05,132
57.11,28.36,120
57.17,30.4,132
57.2,46.72,132
57.24,30.54,132
57.28,38.85,132
57.32,33.57,132
57.35,43.67,132
57.38,45.11,120
57.42,34.97,132
57.47,34.7,132
57.52,42.88,132
57.55,26.07,132
57.59,34.33,132
57.63,30.44,132
57.67,27.18,132
57.7,30.06,132
57.74,29.15,132
57.77,34.01,132
57.83,35.49,60
57.89,30.52,132
57.96,36.88,132
58.0,33.79,132
58.07,30.87,132
58.15,30.18,132
58.19,38.26,60
58.26,39.92,60
58.33,30.68,132
58.37,43.88,60
58.42,28.19,60
58.45,32.41,60
58.51,35.76,120
58.54,31.84,120
58.57,34.69,120
58.61,44.28,120
58.65,44.96,120
58.68,46.19,120
58.72,40.76,132
58.75,39.59,132
58.78,42.07,132
58.84,35.22,60
58.87,43.73,132
58.91,45.64,132
58.95,36.78,60
58.99,38.42,60
59.05,44.45,60
59.1,41.63,60
59.14,44.49,60
59.17,29.73,60
59.2,29.09,60
59.24,28.72,120
59.29,38.45,120
59.34,46.64,120
59.39,40.21,120
59.42,37.34,60
59.45,31.21,120
59.49,37.96,120
59.54,42.55,60
59.57,37.35,120
59.62,40.96,120
59.65,30.59,120
59.7,38.22,120
59.73,36.62,120
59.77,34.8,120
59.83,39.88,120
59.87,36.44,120
59.91,37.06,120
59.95,26.53,60
59.98,46.74,120
60.01,26.71,60
60.05,32.66,60
60.11,36.67,120
60.15,40.27,120
60.19,34.51,120
60.25,42.73,120
60.3,32.15,120
60.34,45.65,120
60.39,46.47,120
60.44,37.2,120
60.47,35.14,60
60.51,40.44,60
60.56,38.01,60
60.61,43.38,60
60.65,38.12,132
60.7,36.87,132
60.73,43.02,60
60.79,46.76,60
60.82,36.7,120
60.85,40.87,60
60.91,31.93,120
60.96,33.18,120
61.02,33.85,120
61.05,46.78,120
61.12,33.26,132
61.15,26.61,132
61.19,39.52,120
61.22,36.01,120
61.25,47.19,120
61.29,34.96,120
61.32,28.2,120
61.35,39.84,120
61.38,28.89,120
61.42,35.86,120
61.45,33.0,120
61.5,32.16,120
61.53,29.22,120
61.59,29.36,120
61.63,37.73,120
61.68,37.45,120
61.72,33.95,120
61.75,44.48,120
61.78,36.33,120
61.82,38.31,120
61.89,38.71,120
61.94,31.51,120
61.99,26.17,120
62.02,43.71,120
62.05,41.26,120
62.09,29.04,120
62.12,37.51,120
62.15,43.4,120
62.18,36.32,120
62.22,38.66,120
62.3,30.72,48
62.34,25.2,48
62.39,26.47,48
62.42,43.07,120
62.45,30.86,120
62.51,34.85,48
62.55,26.64,48
62.59,28.42,48
62.64,33.72,48
62.66,40.24,48
62.69,41.12,48
62.73,41.01,48
62.77,34.76,72
62.81,36.24,144
62.85,32.61,144
62.88,38.6,144
62.91,23.42,72
62.95,34.05,72
62.98,30.33,144
63.02,33.6,144
63.08,27.81,72
63.12,39.2,144
63.17,34.38,144
63.2,35.48,144
63.23,30.05,144
63.27,32.43,144
63.32,31.45,96
63.35,34.24,96
63.38,40.73,96
63.41,33.7,96
63.45,30.54,144
63.48,43.04,96
63.53,38.26,144
63.57,36.43,96
63.62,44.21,96
63.65,44.34,96
63.68,43.97,96
63.71,48.07,96
63.75,39.31,96
63.79,36.36,72
63.84,37.9,72
63.87,46.1,96
63.9,39.25,72
63.94,30.51,72
63.99,39.12,72
64.03,32.64,72
64.07,32.64,72
64.13,27.95,72
64.17,27.76,72
64.22,27.46,72
64.26,26.53,72
64.32,38.03,72
64.37,36.05,72
64.4,29.81,72
64.46,35.0,72
64.51,31.98,72
64.54,31.98,72
64.58,36.39,72
64.61,31.24,72
64.66,29.46,72
64.69,28.54,72
64.72,35.24,72
64.76,31.76,72
64.82,36.58,72
64.86,41.31,72
64.92,41.31,72
64.96,37.27,72
65.02,35.88,72
65.05,39.58,72
65.1,33.44,72
65.15,30.27,72
65.19,36.82,72
65.24,30.48,72
65.28,26.42,72
65.32,44.88,72
65.36,44.88,72
65.39,47.48,72
65.44,39.26,72
65.49,35.83,156
65.55,40.89,72
65.59,40.03,72
65.63,27.03,48
65.67,37.8,72
65.71,35.58,48
65.76,27.08,84
65.79,27.08,84
65.85,34.46,156
65.89,50.69,48
65.92,38.51,156
65.96,36.69,156
66.01,38.45,156
66.04,32.82,156
66.09,29.48,156
66.14,32.87,156
66.18,32.87,72
66.22,27.75,156
66.27,24.9,156
66.3,31.56,156
66.34,36.59,156
66.39,40.21,156
66.42,37.24,156
66.45,40.79,72
66.49,39.87,156
66.53,25.59,156
66.57,31.21,156
66.61,37.51,156
66.64,26.85,156
66.7,36.64,156
66.74,31.49,156
66.77,35.26,156
66.8,33.12,156
66.87,20.45,156
66.89,37.24,156
66.96,38.77,156
67.0,29.51,156
67.04,34.84,84
67.08,41.34,84
67.1,34.51,156
67.15,36.81,72
67.19,32.09,156
67.22,26.85,144
67.25,36.51,156
67.28,37.43,156
